rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area
01_GE.long.GE,801.0,731.0,1579.0,1270.0,196.0,2308.0,5635.0,2232.0,741.0,3705.0,2543.0,2791.0,1494.0,2935.0,546.0,1233.0,1070.0,826.0,1142.0,1410.0,3205.0,984.0,3746.0,3328.0,440.0,4820.0,6100.0,4690.0,2991.0,3783.0,252.0,356.0,230.0,1903.0,72015.9
01_Ph.long.Ph,730.0,780.0,1557.0,1365.0,264.0,2474.0,5352.0,2141.0,836.0,3664.0,2210.0,3089.0,1575.0,3064.0,565.0,1107.0,1138.0,834.0,1150.0,1418.0,3231.0,1029.0,3667.0,3378.0,481.0,4742.0,6006.0,4713.0,2940.0,3791.0,284.0,357.0,209.0,1800.0,71943.7
01_Si.long.Si,789.0,821.0,1520.0,1482.0,225.0,2329.0,5567.0,2130.0,784.0,3516.0,2217.0,3003.0,1636.0,3062.0,526.0,1400.0,1055.0,795.0,1194.0,1466.0,3234.0,1120.0,3570.0,2930.0,471.0,4938.0,6123.0,4519.0,2770.0,3792.0,244.0,366.0,189.0,1951.0,71731.7
02_GE.long.GE,801.0,743.0,1589.0,1274.0,211.0,2403.0,5690.0,2264.0,759.0,3811.0,2401.0,2979.0,1382.0,3029.0,579.0,1222.0,1074.0,856.0,1168.0,1437.0,3205.0,977.0,3770.0,3363.0,454.0,4823.0,6103.0,4732.0,3012.0,3841.0,241.0,398.0,226.0,1929.0,72745.1
02_Ph.long.Ph,728.0,788.0,1556.0,1386.0,263.0,2495.0,5404.0,2136.0,814.0,3606.0,2359.0,3087.0,1587.0,3085.0,559.0,1085.0,1147.0,838.0,1176.0,1441.0,3219.0,1007.0,3752.0,3394.0,510.0,4815.0,6069.0,4764.0,2941.0,3845.0,294.0,347.0,212.0,1837.0,72543.6
02_Si.long.Si,808.0,789.0,1515.0,1493.0,243.0,2416.0,5584.0,2157.0,773.0,3707.0,2243.0,3045.0,1671.0,3067.0,532.0,1426.0,1057.0,829.0,1178.0,1481.0,3334.0,1078.0,3599.0,2947.0,472.0,4917.0,6119.0,4577.0,2796.0,3741.0,240.0,379.0,195.0,1956.0,72364.8
03_GE.long.GE,807.0,755.0,1565.0,1309.0,210.0,2327.0,5647.0,2236.0,759.0,3707.0,2498.0,2911.0,1473.0,2926.0,563.0,1205.0,1055.0,833.0,1159.0,1430.0,3180.0,1001.0,3756.0,3340.0,482.0,4803.0,6098.0,4700.0,2952.0,3824.0,237.0,396.0,229.0,1924.0,72298.4
03_Ph.long.Ph,730.0,787.0,1579.0,1375.0,274.0,2509.0,5390.0,2132.0,833.0,3619.0,2277.0,3082.0,1557.0,3072.0,560.0,1066.0,1140.0,830.0,1159.0,1433.0,3173.0,1021.0,3711.0,3388.0,492.0,4807.0,6050.0,4725.0,2953.0,3821.0,287.0,353.0,209.0,1820.0,72212.3
03_Si.long.Si,802.0,786.0,1498.0,1483.0,237.0,2425.0,5639.0,2187.0,817.0,3724.0,2252.0,3069.0,1721.0,3104.0,528.0,1354.0,1055.0,849.0,1137.0,1499.0,3115.0,1104.0,3452.0,2949.0,457.0,4808.0,5859.0,4640.0,2812.0,3748.0,238.0,385.0,188.0,1938.0,71859.4
04_GE.long.GE,810.0,766.0,1592.0,1297.0,215.0,2346.0,5603.0,2193.0,767.0,3693.0,2563.0,2961.0,1474.0,2982.0,538.0,1199.0,1066.0,839.0,1150.0,1469.0,3195.0,986.0,3789.0,3368.0,472.0,4827.0,6165.0,4728.0,2979.0,3816.0,246.0,380.0,224.0,1936.0,72630.6
